Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
RESET Tech,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Bandra, Maharashtra, India",RESET Tech offers AI-powered health solutions for lifestyle diseases.,$1M to $10M,Active,2021,contact@resettech.in,Seed,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Karan Talreja, Vamsi Talasila",11-50,1,Seed,"₹300,000,000","₹300,000,000",—,—,—,—,—,—,—
FinVedic,"Artificial Intelligence (AI), B2B, B2C, Corporate Training, E-Learning, EdTech, IaaS, SaaS","Hyderabad, Andhra Pradesh, India",AI-powered EdTech platform focused on FinTech.,—,Active,2023,info@finvedic.com,Seed,"Artificial Intelligence (AI), Data and Analytics, Education, Other, Science and Engineering, Software",4,"Ravali Kotagiri, Srikath Ap, Srinivas Aravala, Vidya Dhari D",1-10,3,Seed,"$70,000","$70,000",—,—,—,—,—,—,—
Abyom SpaceTech and Defence Pvt. Ltd.,"Aerospace, Machinery Manufacturing, Manufacturing, Space Travel","Hyderabad, Andhra Pradesh, India",Abyom builds reusable rockets with cryogenic engines for multi-launches.,—,Active,2020,info@abyom.com,Seed,"Manufacturing, Science and Engineering, Transportation",2,"Jainul Abedin, Pranchal Gupta",11-50,1,Seed,"$2,500,000","$2,500,000",—,—,630,84%,137.50%,—,76
BimaKavach,"Financial Services, Insurance, InsurTech","Bangalore, Karnataka, India",BimaKavach is an online insurance platform.,$1M to $10M,Active,2021,support@bimakavach.com,Seed,Financial Services,—,—,11-50,1,Seed,"$2,000,000","$2,000,000",Growing,—,"30,447",12%,306.29%,—,646
Sapientury,EdTech,"Bangalore, Karnataka, India",Sapientury builds an alternative education system for undergraduates.,Less than $1M,Active,2020,office@sapientury.com,Seed,"Education, Software",—,—,11-50,1,Seed,"₹15,000,000","₹15,000,000",—,—,—,—,—,—,—
Verifast AI,Software,"Bengaluru, Karnataka, India",Verifast AI is creating the e-commerce platform of the future.,—,Active,2023,utkarsh@verifast.tech,Seed,Software,3,"Ashutosh Vishwakarma, Tanmay Sethi, Utkarsh Trivedi",1-10,1,Seed,"$125,000","$125,000",—,—,94,—,—,—,0
AcadAlly,"Artificial Intelligence (AI), Business Intelligence, Education, Generative AI, SaaS","New Delhi, Delhi, India",AcadAlly has an AI engine called LEAP that analyzes user learning patterns and identifies gaps.,—,Active,2022,—,Seed,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",2,"Ridhi Agarwal, Yash Prakash",11-50,2,Seed,"$151,000","$151,000",Growing,—,"2,142",17.43%,-96.35%,—,61
GoodReach,Software,"Gurgaon, Haryana, India",GoodReach specializes in AI-powered video creation.,—,Active,2023,akarsh@goodreach.in,Seed,Software,1,Akarsh Mishra,11-50,1,Seed,"$2,000,000","$2,000,000",—,—,—,—,—,—,—
D-Nome,Health Care,"Hyderabad, Andhra Pradesh, India",D-Nome is a health-tech startup.,$1M to $10M,Active,2021,—,Seed,Health Care,—,—,1-10,4,Seed,"$1,555,000","$1,555,000",—,—,82,12.33%,—,1,0
Vitto,"Artificial Intelligence (AI), FinTech, Micro Lending, Small and Medium Businesses, Software","New Delhi, Delhi, India",Helping MSMEs get affordable capital digitally.,Less than $1M,Active,2019,info@vitto.money,Seed,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Other, Science and Engineering, Software",2,"Kapil Patil, Swati Sinha",11-50,4,Seed,"$200,000","$200,000",—,—,"1,337",622.70%,—,—,"2,096"
Wiz Freight,"Freight Service, Logistics, Supply Chain Management, Transportation","Chennai, Tamil Nadu, India",Wiz Freight is a digital freight forwarding company providing cross-border supply chain services.,$50M to $100M,Active,2020,—,Early Stage Venture,Transportation,2,"Ramkumar Govindarajan, Ramkumar Ramachandran",1001-5000,4,Early Stage Venture,"$50,934,640","$53,638,349",Growing,High,"7,278",-9.63%,17.65%,—,980
Hop Electric,"Automotive, Clean Energy, Electric Vehicle, Manufacturing","Jaipur, Rajasthan, India",Hop Electric is an automotive company focused on electric vehicles.,$1M to $10M,Active,2020,hello@hopelectric.in,—,"Energy, Manufacturing, Sustainability, Transportation",3,"Ketan Mehta, Nikhil Bhatia, Rahil Gupta",101-250,2,—,"$2,600,000","$2,600,000",Growing,—,—,—,—,—,—
Paytail,"Financial Services, FinTech","Delhi, Delhi, India",Paytail provides instant paperless EMIs to consumers for products and services.,$1M to $10M,Active,2020,—,—,Financial Services,2,"Amit Chaturvedi, Vikas Garg",11-50,2,—,"$1,500,000","$1,500,000",Growing,—,11,-97.29%,—,—,153
Adsys,"Health Care, Health Diagnostics, Medical Device","Jaipur, Rajasthan, India",Adsys is a healthcare startup building rapid blood diagnostic devices using deep learning.,—,Active,2021,support@adsys.in,Seed,Health Care,—,—,11-50,1,Seed,"₹12,500,000","₹12,500,000",—,—,50,—,—,—,3
EVhicle Mobility,"Automotive, Autonomous Vehicles, Electric Vehicle","Khandala, Maharashtra, India",EVhicle Mobility focuses on the design and development of Electric Vehicles and EV subsystems.,—,Active,2020,contact@evhicle.co.in,Seed,Transportation,—,—,1-10,2,Seed,"₹7,500,000","₹7,500,000",Growing,High,455,—,—,273,—
Fuselage Innovations,"Agriculture, AgTech, Farming","Kochi, Kerala, India",Fuselage Innovations provides solutions for mapping and diagnostics of farmland.,$1M to $10M,Active,2020,info@fuselage.co.in,Seed,Agriculture and Farming,—,—,11-50,1,Seed,"₹3,000,000","₹3,000,000",Growing,—,93,—,—,—,0
Liberate Foods,"Alternative Protein, Food Processing, Manufacturing, Organic Food","Bangalore, Karnataka, India",Liberate Foods creates plant-based meat for the Indian market.,$1M to $10M,Active,2020,—,—,"Food and Beverage, Manufacturing",—,—,1-10,3,—,"$2,090,555","$2,090,555",Growing,—,277,-77.26%,206.67%,—,46
Sabhyasha Retail Tech Pvt. Ltd.,"Art, E-Commerce, Fashion, Grocery, Retail","Bhubaneswar, Orissa, India",Empowers rural entrepreneurs and artisans via its ONDC platform.,—,Active,2022,care@sabhyasha.com,Seed,"Clothing and Apparel, Commerce and Shopping, Design, Food and Beverage, Media and Entertainment",—,—,1-10,4,Seed,"₹1,700,000","₹3,380,000",—,—,"6,123",-74.21%,343.78%,—,"2,392"
HECCO Technologies Inc (Prescribe),"Health Care, Hospital, Information Technology, Medical, mHealth, Mobile Apps, Software","Malappuram, Kerala, India","Provides IT solutions to doctors, clinics, and hospitals.",—,Active,2021,contact@heyprescribe.com,Seed,"Apps, Health Care, Information Technology, Mobile, Software",3,"Amit Kumar Verma, Nived Narayanan, Sreeshyam C A",11-50,2,Seed,"$1,500,000","$1,500,000",—,—,—,—,—,—,—
The Test Tribe,"EdTech, Quality Assurance, Software","Pune, Maharashtra, India",A community-led upskilling startup focused on Quality Assurance.,—,Active,2021,mahesh@thetesttribe.com,Seed,"Education, Professional Services, Software",1,Mahesh Chikane,11-50,2,Seed,"$250,000","$250,000",Growing,Medium,"202,209",341.09%,35.93%,—,628
Orphicy,"EdTech, Education","Ahmedabad, Gujarat, India",A startup offering education solutions led by seasoned academicians.,—,Active,2020,—,Seed,"Education, Software",1,Vipul Tyagi,11-50,1,Seed,"₹25,000,000","₹25,000,000",—,—,—,—,—,—,—
EMoMee,"Children, Education","Mumbai, Maharashtra, India",Focuses on emotional intelligence for children.,—,Active,2022,—,Seed,"Community and Lifestyle, Education",—,—,1-10,1,Seed,"$1,000,000","$1,000,000",—,—,—,—,—,—,—
ESG Data Solutions Pvt. Ltd.,"Analytics, Cloud Data Services, Energy Management, Financial Services, FinTech, Impact Investing, SaaS, Sustainability","Mumbai, Maharashtra, India",ESGDS helps investors integrate ESG solutions in their investment decisions and provides ESG data and analytics for interpreting ESG risks.,—,Active,2020,contactus@esgds.io,Seed,"Data and Analytics, Energy, Financial Services, Information Technology, Internet Services, Lending and Investments, Software, Sustainability",4,"Arunkumar Doraisamy, Ramnath Iyer, Rohit Kodancha, Suresh Ramani",251-500,1,Seed,"$315,000","$315,000",Growing,—,107,—,—,—,78
MetaShop,Information Technology,"Pune, Maharashtra, India",MetaShop is a deep tech startup that empowers users to create photorealistic 3D assets at scale using just a video input.,—,Active,2022,info@metashopai.com,Seed,Information Technology,2,"Mukul Ingle, Sophiya Jagannathan",1-10,2,Seed,"₹12,500,000","$254,366",—,—,186,1760%,-57.33%,—,207
Starium Innovative Healthcare,"Cosmetics, Health Care","Mumbai, Maharashtra, India",Pharmaceutical company focused on innovative healthcare solutions.,—,Active,2021,contact@starium.tech,IPO,"Consumer Goods, Health Care",3,"Hrishikesh Bhargava, Sakshi V..., Sreelakshmi Chatterjee",11-50,2,IPO,"$550,000","$550,000",—,—,279,-23.56%,206.67%,—,46
Garudaire,"Artificial Intelligence (AI), Drones, Machine Learning, Robotics","Delhi, Delhi, India",Advanced drone technology startup focusing on cutting-edge drone development.,—,Active,2022,hello@garudaire.com,Seed,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",1,Suyash S.,1-10,1,Seed,"₹10,000,000","₹10,000,000",—,—,—,—,—,—,—
India Costartup,Social Network,"Arrah, Bihar, India",India’s first AI-powered business matchmaking platform.,—,Active,2020,info@indiacostartup.in,Seed,Internet Services,2,"Manish Kumar, Utkarsh Kumar",11-50,1,Seed,"₹1,000,000","₹1,000,000",—,—,—,—,—,—,—
Wildermart,"Food and Beverage, Organic Food","Bengaluru, Karnataka, India",Wildermart is a healthy and sustainable grocery store startup.,$1M to $10M,Active,2021,—,Seed,Food and Beverage,—,—,11-50,1,Seed,"₹24,000,000","₹24,000,000",—,—,—,—,—,—,—
Astomverse,"Augmented Reality, Education, Information Technology, Metaverse, Software, Virtual Reality","Patna City, Bihar, India","Astomverse Innovations is a virtual reality company serving multiple sectors such as education, training, healthcare, and sports.",—,Active,2024,—,Seed,"Education, Hardware, Information Technology, Media and Entertainment, Software",1,Naveen Prabhat,1-10,1,Seed,"₹1,000,000","₹1,000,000",—,—,—,—,—,—,—
Green Tiger Mobility,"Electric Vehicle, Manufacturing","Bengaluru, Karnataka, India",Green Tiger Mobility is an electric vehicle startup.,$1M to $10M,Active,2020,—,Seed,"Manufacturing, Transportation",—,—,11-50,1,Seed,"₹1,000,000","₹1,000,000",Growing,—,794,-51.50%,688.54%,—,757
BeyondSkool,Education,"Mumbai, Maharashtra, India",BeyondSkool is a live upskilling platform for kids.,—,Active,2020,upskill@beyondskool.in,Seed,Education,2,"Atul Chugh, Payal Gaba",51-100,1,Seed,"$2,000,000","$2,000,000",Growing,—,"3,193",168.09%,-6.27%,—,972
Pod,"Angel Investment, Finance, Financial Services, FinTech, Funding Platform","Bengaluru, Karnataka, India",Pod is a fintech startup enabling early-stage companies to raise funds securely and seamlessly.,—,Active,2022,talent@podworld.in,"Early Stage Venture, Seed","Financial Services, Lending and Investments",2,"Neelendra Nath, Vittal Ramakrishna",11-50,1,Seed,"$100,000","$100,000",—,—,186,-64.57%,133.33%,—,7
SpanTrik,"Aerospace, Commercial, Space Travel, Transportation","Delhi, Delhi, India",SpanTrik is a launch services company working to make space launch more affordable and accessible with reusable rockets.,—,Active,2022,info@spantrik.com,—,"Other, Science and Engineering, Transportation",2,"Hitendra Singh, kajal Rajbhar",1-10,2,—,"$24,152","$24,152",—,—,—,—,—,—,—
BitClass,"E-Learning, Education, Software","Bengaluru, Karnataka, India",BitClass is a PAAS (Platform As A Service) solution for teachers to set up and manage live classes.,$1M to $10M,Active,2020,gunjan@bitclass.live,Seed,"Education, Software",2,"Gunjan Kejriwal, Utsav Tiwary",1-10,2,Seed,"$2,000,000","$2,000,000",—,—,270,—,—,—,376
4Fin,"Financial Services, FinTech","Pune, Maharashtra, India",4Fin is a fintech startup.,$1M to $10M,Active,2021,—,Seed,Financial Services,2,"Ajit Sinha, Amit Tewary",11-50,2,Seed,"$2,100,000","$2,100,000",—,—,—,—,—,—,—
Apptunix,"Android, Artificial Intelligence (AI), DevOps, iOS, Machine Learning, Web Apps, Web Development","Jalandhar, Punjab, India",Apptunix is a mobile app and web solutions development agency.,—,Active,2022,contact@apptunix.co,Seed,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Platforms, Science and Engineering, Software",1,Guldeep Kumar,11-50,1,Seed,"$2,100,000","$2,100,000",—,—,—,—,—,—,—
Pheal,"Health Care, Hospital","Mumbai, Maharashtra, India",Pheal is a healthtech startup providing physiotherapists with physical therapy tools.,—,Active,2021,connect@pompeyhealth.com,Seed,Health Care,—,—,11-50,1,Seed,"₹22,500,000","₹22,500,000",—,—,—,—,—,—,—
FlyLab Solutions Private Ltd.,"Aerospace, Drones, PaaS, SaaS, Service Industry, Software","Nasik, Maharashtra, India",End-to-end drone solutions under one umbrella.,—,Active,2022,connect@flylabsolutions.com,Seed,"Consumer Electronics, Consumer Goods, Hardware, Other, Science and Engineering, Software",—,—,1-10,2,Seed,"₹3,000,000","₹3,700,000",—,—,93,—,—,0,—
HeyHey!,"E-Commerce, Internet, Marketplace, Social Media","Mumbai, Maharashtra, India",HeyHey! is a celebrity engagement startup.,$1M to $10M,Active,2020,—,Seed,"Commerce and Shopping, Internet Services, Media and Entertainment",1,Caleb Franklin,1-10,1,Seed,"$1,500,000","$1,500,000",—,—,—,—,—,—,—
Meeraq,"E-Learning, Skill Assessment","Bengaluru, Karnataka, India",Meeraq is a soft-skill upskilling edtech startup.,—,Active,2022,info@meeraq.com,Seed,"Education, Software",2,"Rajat Garg, Sujata Barla",11-50,1,Seed,"$220,000","$220,000",—,—,"3,704",10.96%,-45.35%,—,535
Enord,"Aerospace, Artificial Intelligence (AI), Drones","New Delhi, Delhi, India",India’s first AI on Edge Drone Tech Start-Up. Designing and developing drones with AI Pilot ™ system.,$1M to $10M,Active,2021,info@enord.co,Seed,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",2,"Muhammad Anas, Zain Saeed Alig",11-50,3,Seed,"$47,500","$122,250",—,—,236,-48.92%,—,—,63
Start Insights,SaaS,"Salem, Tamil Nadu, India",One-stop platform for startup founders to raise funds faster.,—,Active,2022,prem@startinsights.co,Seed,Software,1,Prem Ananth,1-10,1,Seed,"₹5,200,000","₹5,200,000",—,—,—,—,—,—,—
Strive,"Bitcoin, Cryptocurrency, E-Learning, Web3","Gurgaon, Haryana, India",Web3 startup in the NFT space.,—,Active,2020,hey@strive.social,Seed,"Blockchain and Cryptocurrency, Education, Financial Services, Internet Services, Payments, Software",—,—,1-10,1,Seed,"$500,000","$500,000",—,—,—,—,—,—,—
Spark Studio,"E-Learning, Education","Bengaluru, Karnataka, India","Extracurricular ed-tech startup offering online courses across visual arts, music, and communications.",Less than $1M,Active,2020,—,Seed,"Education, Software",4,"Anushree Goenka, Jyothika Sahajanandan, Kaustubh Khade, Namita Goel",11-50,4,Seed,"$125,000","$125,000",—,—,"4,487",396.90%,23.33%,—,425
Rgyan,Internet,"Gurgaon, Haryana, India",Vernacular spiritual social tech startup.,—,Active,2021,support@rgyan.com,Seed,Internet Services,2,"Devendar Agarwal, Umesh Khatri",11-50,2,Seed,"$362,000","$362,000",—,—,"1,091",-96.17%,-25%,—,3
Glibzter,"Consulting, Education, Language Learning, Personal Development","Coimbatore, Tamil Nadu, India","EdTech, Consumer Tech",—,Active,2023,support@glibzter.com,—,"Education, Professional Services",3,"Himanshu Singh, Ruchi Bhargava, Varun Bhagath",1-10,2,—,"₹1,500,000",—,—,—,—,—,—,—,—
Fairtok,"Content, Digital Entertainment, Video","Palakkad, Kerala, India",Short video communication platform startup.,—,Active,2020,support@fairtok.com,Seed,"Media and Entertainment, Video",—,—,11-50,1,Seed,"₹20,000,000","₹20,000,000",—,—,—,—,—,—,—
